Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-12-10 18:53:30;"Evening Workout";"Chin Up (Assisted)";2;0;lbs;3;;;;0;;;54m
2023-12-10 18:53:30;"Evening Workout";"Chin Up (Assisted)";3;0;lbs;2;;;;0;;;54m
2023-12-10 18:53:30;"Evening Workout";"Chin Up (Assisted)";4;20;lbs;4;;;;0;;;54m
2023-12-10 18:53:30;"Evening Workout";"Seated Row (Cable)";1;85;lbs;8;;;;0;"";;54m
2023-12-10 18:53:30;"Evening Workout";"Seated Row (Cable)";2;100;lbs;8;;;;0;;;54m
2023-12-10 18:53:30;"Evening Workout";"Seated Row (Cable)";3;100;lbs;8;;;;0;;;54m
2023-12-10 18:53:30;"Evening Workout";"Seated Row (Cable)";4;110;lbs;4;;;;0;;;54m
2023-12-10 18:53:30;"Evening Workout";"Bicep Curl (Barbell)";1;50;lbs;6;;;;0;"";;54m
2023-12-10 18:53:30;"Evening Workout";"Bicep Curl (Barbell)";2;40;lbs;6;;;;0;;;54m
2023-12-12 20:00:26;"Evening Workout";"Incline Bench Press (Barbell)";1;45;lbs;5;;;;0;"";"";2h
2023-12-12 20:00:26;"Evening Workout";"Incline Bench Press (Barbell)";2;95;lbs;5;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Incline Bench Press (Barbell)";3;135;lbs;4;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Incline Bench Press (Barbell)";4;135;lbs;4;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Incline Bench Press (Barbell)";5;135;lbs;3;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Overhead Press (Barbell)";1;45;lbs;5;;;;0;"";;2h
2023-12-12 20:00:26;"Evening Workout";"Overhead Press (Barbell)";2;85;lbs;5;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Overhead Press (Barbell)";3;95;lbs;4;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Overhead Press (Barbell)";4;95;lbs;5;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Overhead Press (Barbell)";5;95;lbs;3;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Bench Press (Barbell)";1;115;lbs;7;;;;0;"";;2h
2023-12-12 20:00:26;"Evening Workout";"Bench Press (Barbell)";2;125;lbs;7;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Bench Press (Barbell)";3;125;lbs;5;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Skullcrusher (Dumbbell)";1;20;lbs;5;;;;0;"";;2h
2023-12-12 20:00:26;"Evening Workout";"Skullcrusher (Dumbbell)";2;40;lbs;5;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Skullcrusher (Dumbbell)";3;40;lbs;5;;;;0;;;2h
2023-12-12 20:00:26;"Evening Workout";"Skullcrusher (Dumbbell)";4;40;lbs;5;;;;0;;;2h
